title,score,id,url,comms_num,created,body,timestamp
"TIL the city of Nottingham, UK, named a tram after a locally born actress, Vicky McClure. On her maiden trip on the tram, she was ejected for fare evasion. Having been offered a free ride, she did not have a ticket.",11458,bg6xbw,https://en.wikipedia.org/wiki/Vicky_McClure,291,1555964746,,4/22/2019 15:25
"TIL Jimmy Carter still lives in the same $167,000 house he built in Georgia in 1961 and shops at Dollar General",65346,bg2c86,https://www.cnbc.com/amp/2018/08/22/jimmy-carter-lives-in-an-inexpensive-house.html?__source=instagram%7Cmain,3199,1555941102,,4/22/2019 8:51
"TIL that during WW2 there was a saying that ""It's more likely for a snake to smoke a pipe, than for Brazil to go the front and fight"", so when Brazil joined the war, their troops became known as ""Cobras Fumantes"", or ""the Smoking Snakes"".",23402,bg0p27,https://en.wikipedia.org/wiki/Brazilian_Expeditionary_Force,594,1555930582,,4/22/2019 5:56
"TIL that every single copy of GoldenEye 007 for the N64 shipped with a fully functioning ZX Spectrum emulator, along with ten games, hidden on the cartridge. This function can be reenabled using an emulator, letting users play the classic games.",2379,bg2rsw,https://kotaku.com/long-lost-emulation-easter-egg-discovered-in-goldeneye-5897828,93,1555943478,,4/22/2019 9:31
"TIL that pineapples were so rare a sight in the 1700's they were a symbol of wealth. The few that were cultivated in hothouses were worth about five thousand pounds ($8000) each. They weren't eaten, but were rented out by the aristocracy as a table centerpiece at dinner parties.",528,bg74ar,https://www.thespruceeats.com/history-of-the-pineapple-1807645,50,1555965739,,4/22/2019 15:42
"TIL As a child, Einstein's Uncle Jakob introduced him to algebra and called it ""a merry science"". He compared algebra to hunting a little animal. You didn't know the name of the animal, so you called it ""x"". When you finally caught the animal you gave it the correct name",45726,bfybqy,https://www.mathematics-monster.com/algebra.html,685,1555910360,,4/22/2019 0:19
TIL in 2002 paramedics in Poland were arrested for killing patients and selling their information to funeral homes who would contact their relatives to make funeral arrangements. The funeral homes then added the cost of the bribes they paid the killers to the funeral bills of the victims' families.,455,bg6w4b,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)60254-2/fulltext,25,1555964579,,4/22/2019 15:22
TIL Martin Luther King criticized the FBI for failing to enforce civil rights law in the south. In retaliation he was sent a letter from the FBI calling him a fraud and asking him to kill himself.,6999,bfyzsd,https://www.nytimes.com/2014/11/16/magazine/what-an-uncensored-letter-to-mlk-reveals.html,325,1555915963,,4/22/2019 1:52
"TIL jazz violinist Joe Venuti, known for practical jokes, once called every double bass player in the New York phonebook, asking them to meet with him on a street corner; over 50 arrived with their instruments, creating a minor roadblock. Venuti later had to pay them all, as mandated by the AFM.",607,bg5j6o,https://en.wikipedia.org/wiki/Joe_Venuti,27,1555957688,,4/22/2019 13:28
"TIL Costco’s $6,000 Doomsday Food Kit Only Gets Your Family Through Year One of the Apocalypse. The kit is delivered as two pallets of boxes that together weigh 1,800 pounds. To keep neighbors in the dark, Costco promises everything is “packaged discreetly.” The some products expire in 30 years.",260,bg7za0,http://www.grubstreet.com/2018/03/costco-selling-family-sized-food-kits-for-doomsday-preppers.html,109,1555970168,,4/22/2019 16:56
"TIL: The highest point (The peak of Mount Whitney at 14,494 feet / 4,418 meters) and lowest point (The Badwater Basin area of Death Valley at -282 feet / -86 meters) in the Contiguous United States are both in California, both in the same county in California, and only 88 miles apart.",1365,bg1cnr,https://www.howderfamily.com/blog/death-valley-mount-whitney/,77,1555935041,,4/22/2019 7:10
"TIL during WW2, a 360 ft long prehistoric chalk horse figure on a hill in Britain, was covered over with turf and hedge trimmings so that German pilots could not use it for navigation during bombing raids.",392,bg4iom,https://en.wikipedia.org/wiki/Uffington_White_Horse,23,1555952602,,4/22/2019 12:03
"TIL that Prince Charles has been heir to the British throne for 67 years, making him the oldest and longest-serving heir in British history.",1287,bg09qq,"https://en.wikipedia.org/wiki/Charles,_Prince_of_Wales",145,1555927152,,4/22/2019 4:59
TIL that the Illuminati is present in modern conspiracy theories largely due to some prank letters published in Playboy magazine in the 60's,14064,bfuvqi,https://skeptoid.com/episodes/4657,434,1555887913,,4/21/2019 18:05
"TIL light bulbs in the New York City subway system screw in ""backwards"" (i.e. with left-handed threads) so people won't steal them to use at home.",58478,bfu6o4,https://en.wikipedia.org/wiki/Edison_screw#Types,1378,1555883889,,4/21/2019 16:58
"TIL the Philippines is one of two countries, the other being Vatican City, that doesn't allow divorce. Instead, citizens have to go through an expensive & complex annulment process to circumvent the divorce ban.",439,bg2ad0,https://www.pna.gov.ph/articles/1061868,45,1555940781,,4/22/2019 8:46
"TIL that Jimmy Carter's siblings and father all died of Pancreatic Cancer, with all of his siblings dying within 7 years of one another.",260,bg42lo,https://www.nytimes.com/2007/08/07/health/07jimm.html,16,1555950316,,4/22/2019 11:25
"TIL of the Tarantula Hawk, a giant member of the wasp family whose sting is described as an ""immediate, excruciating, unrelenting pain that simply shuts down one's ability to do anything, except scream. Mental discipline simply does not work in these situations."" It's the state insect of New Mexico.",230,bg4a12,https://en.wikipedia.org/wiki/Tarantula_hawk,32,1555951379,,4/22/2019 11:42
"TIL: The only state governor to be assassinated was Kentucky’s William Goebel. He was shot soon after the election ended, and was sworn into office while on his death bed. His only official business as governor was to call off the militia looking for the person who shot him.",474,bg15ag,https://www.wikipedia.org/wiki/William_Goebel,32,1555933723,,4/22/2019 6:48
"TIL after rigorously training dogs for space travel, Soviet scientist had a dog named Bobik run away days before their flight. A replacement named ZIB who was an untrained street dog found running around the barracks, was quickly located and made a successful flight.",153,bg58ad,https://en.wikipedia.org/wiki/Soviet_space_dogs#Bobik_and_ZIB,6,1555956155,,4/22/2019 13:02
TIL the oldest D20 dice was uncovered in Egypt and dates back around 30 BC,66,bg81cz,http://www.cnet.com/news/ancient-d20-die-emerges-from-the-ashes-of-time/,10,1555970472,,4/22/2019 17:01
"TIL: the first pilots crossing the Atlantic, crash landed on bogland in the western tip of Ireland. During their flight they came into free fall twice above the ocean. They lost the hood of the ‘cockpit’ and went trough snow and rain at 3500 m altitude, soaking and freezing them completely.",141,bg51ll,https://www.connemara.net/alcock-and-brown/,12,1555955204,,4/22/2019 12:46
TIL about the Controversy surrounding the Four Color Theorem which states that every map can be colored using only four different colors. The remarkable theorem is the first that had to be proved using computer-assistance.,69,bg7p7q,https://mathsection.com/four-color-theorem-controversy/,10,1555968707,,4/22/2019 16:31
TIL Mexico City is 7200 feet above sea level which had a major affect on athletes in the 1968 Olympic games,241,bg2bq5,https://globalsportmatters.com/mexico/2018/10/11/altitude-major-impact-performances-mexico-city-olympic-games/,20,1555941009,,4/22/2019 8:50
"TIL that, for a brief time, there existed a breakaway ""Samurai Republic"" on the island of Hokkaido that held the first-ever ""democratic"" elections in Japan",154,bg426v,https://unseenjapan.com/samurai-democracy-republic-of-ezo.html,4,1555950259,,4/22/2019 11:24
"TIL about ""The Demon Core"", a mass of plutonium that was responsible for the death of two scientists on two separate occasions.",46,bg8de8,https://www.newyorker.com/tech/annals-of-technology/demon-core-the-strange-death-of-louis-slotin/amp,7,1555972237,,4/22/2019 17:30
TIL Some landscaping companies use goats to get rid of invasive plant growth rather than machines and pesticides.,185,bg2zb4,https://en.wikipedia.org/wiki/Rent_A_Goat,31,1555944630,,4/22/2019 9:50
"TIL that Marcel Marceau, the famous mime and actor, was considered a national treasure in Japan and was friends with Michael Jackson for nearly 20 years (and Jackson used a lot of his techniques in his dancing).",49,bg86h4,https://en.wikipedia.org/wiki/Marcel_Marceau,7,1555971228,,4/22/2019 17:13
TIL the day after Thanksgiving is the busiest day for plumbers,112,bg4qqh,https://edition-m.cnn.com/2016/11/21/health/thanksgiving-fun-facts-trivia-trnd/index.html,13,1555953702,,4/22/2019 12:21
